PuzzleId,GameId,FEN,Moves,Rating
myIS2,,rnbqkb1r/ppppp1pp/4nP2/8/1PP5/3P4/P4PPP/RNBQKBNR b KQkq - 0 6,g7f6 d1h5,427
mxinv,,8/pp3p2/3Q4/6p1/k6p/1P3q1P/2P2r2/6K1 b - - 0 33,a4b5 c2c4 b5a5 d6c5 b7b5 c5b5,1813
mxiki,,2k3r1/5p2/2p1p3/2Np1pr1/3P1Q2/P1P2R1P/1q6/R6K w - - 0 29,a1f1 b2g2,914
mxiyP,,5r1k/1p4pp/1P4p1/p7/3rPq2/1QPB3P/P4PP1/4RK2 w - - 0 24,c3d4 f4f2,827
mxj2I,,r1b2rk1/pp2qppp/3R4/2p1B3/2B1P3/5QP1/PPP4P/2K3R1 b - - 0 19,e7e5 f3f7 f8f7 d6d8 e5e8 d8e8,1593
mxj13,,r2Qk2r/1p2Pp2/5n1p/1pq1p1pn/2P1P1b1/5N2/P3BPPP/2RR2K1 b kq - 1 19,a8d8 e7d8q,1735
mxiQu,,4r2k/pb4pp/1p6/2pq2N1/3p4/1P1Pr1QP/1PP2RP1/5RBK b - - 6 28,e3g3 f2f8 e8f8 f1f8 d5g8 g5f7,1481
mxhWW,,5k2/2Q2ppp/1p6/p1b5/P3q1P1/1B4KP/5P2/8 b - - 3 32,g7g6 c7f7,1190
mxgzX,,8/3k2p1/p3p2p/2Q4b/P1PPBK2/4P3/5qP1/8 w - - 4 37,f4e5 f2f6,1342
mxhXq,,4r1k1/pp3pp1/6p1/2qp4/4n3/1QP2N1P/PP4P1/R1B2K2 w - - 2 24,b3a4 c5f2,953
mxhio,,1r2r3/1p1kbRp1/1QpRp2p/8/4P3/2N4P/PPP3q1/2K5 b - - 0 25,d7d6 c3b5 d6d7 b6c7,1610
mxhfP,,N1b4r/pp1k1ppp/4p3/3P1n1P/1nP3Q1/b1B5/1P3PP1/qBKR2NR w - - 1 20,b2a3 a1c3 b1c2 c3c2,1731
myKyW,,7k/p3q1pp/Qp1p4/2p5/3p4/P4P1P/1PP1rRP1/6K1 b - - 2 26,e2f2 a6c8 e7d8 c8d8,927
myLCZ,,2r3k1/pp2r1p1/7p/3R1Q1B/4pP2/1N6/q5P1/6K1 b - - 0 30,c8f8 f5f8 g8f8 d5d8 e7e8 d8e8,1643
myKwU,,rn2r1k1/ppb2ppp/2p5/8/1P1Pp3/P3BB1P/2P2PPq/R2QRK2 w - - 0 18,f3e2 h2h1,700
myKZC,,8/2Q5/1p3p2/p1k3p1/3p4/1P3PKP/q5P1/8 b - - 1 45,c5b5 c7c4,942
myKtz,,6k1/p5pp/8/4q3/2r2r2/1Q4R1/PP1P2PK/R1B5 w - - 8 32,d2d3 f4h4 h2g1 e5e1,1391
myLCe,,8/6p1/p2B3p/k4P2/bpB5/2b5/K7/8 b - - 1 42,a4b5 d6c7 a5a4 c4b3,1436
myLh2,,8/2P1pk1p/2r2p2/5p2/1P1R4/8/6PP/7K w - - 1 37,b4b5 c6c1 d4d1 c1d1,527
myLkc,,r2qkb1r/5pp1/p1n1p3/1p1bN2p/5Q2/6P1/PPP2PBP/R1B1R1K1 b kq - 0 14,d5g2 f4f7,1030
myLf4,,4rrk1/ppp2p1p/2n2p2/q7/8/2PP1B2/1PQK1PPP/3R3R w - - 1 17,f3c6 a5g5 f2f4 g5f4,1127
myLFh,,r1b1k2r/pppp2pp/2n5/2b5/2P1NBn1/4PN2/Pq3PPP/R2QKB1R w KQkq - 0 10,e4c5 b2f2,1179
myLcC,,5r2/ppq3pk/6b1/3p3p/1P2p3/P1P1P2P/2BQR1P1/4Rr1K w - - 3 36,e1f1 f8f1,724
myJWw,,rn2r1k1/ppp1qp1p/3bN1pB/8/3Q4/1B6/PPP2PPP/RN4K1 b - - 4 15,f7e6 b3e6 e7e6 d4g7,1153
myJzC,,r5k1/ppp2rpp/8/8/4q3/1Q3b2/PP3RP1/3R2K1 b - - 1 25,f3d1 b3f7 g8h8 f7f8 a8f8 f2f8,1077
myJWu,,6k1/1q4pp/4Qp2/1r1p4/2b5/6RP/6PK/8 b - - 1 48,g8h8 e6e8,659
myIii,,r2qkbnr/3Bpppp/p3b3/4N3/3P4/1Q2P3/5PPP/RNB1K2R b KQkq - 0 11,e6d7 b3f7,818
myIlU,,r1b1k2r/ppq3b1/2p2np1/3p2Bp/1P1P2n1/5N2/P2NBPPP/R2Q1RK1 w kq - 0 16,f3h4 c7h2,591
myK4p,,6k1/1b1r1pp1/7p/Rp5q/1Np1p3/2P1P2P/1PQ2PP1/6K1 w - - 2 33,g1f1 d7d1 c2d1 h5d1,1107
myKL0,,1k3b1r/pppr2pp/q3p3/3pBP2/3P4/P1Q5/1PP3PP/4RRK1 b - - 0 17,e6f5 e5c7 d7c7 e1e8 c7c8 e8c8,1373
myKUh,,3r3k/1pp1q1pp/p3r3/2b5/5B2/1QP2P2/PP3PRP/R5K1 w - - 1 24,f4g5 e6e1 a1e1 e7e1,862
myKIW,,2r2r1k/pppnNppp/b2p4/4p2q/4P1n1/3PPRP1/PP1QN1BP/5RK1 w - - 11 16,e7c8 h5h2,885
myK9B,,5rk1/1pp2qp1/p3b3/8/3n4/P5Q1/1PPB2P1/1K1R3R w - - 3 35,g3h4 e6a2 b1a1 d4c2,846
myKEq,,r3rqk1/pppb1p2/5Qpp/8/2PBP3/7P/PP4P1/R4RK1 b - - 1 24,e8e6 f6h8,1076
my7Tg,,6rk/q3PprQ/p2p4/1p2p1B1/2p1P3/2Pn4/PP3PP1/R4K1R b - - 0 30,g7h7 g5f6 g8g7 e7e8r,1404
my7Qa,,7k/p1p2Q2/1q4n1/4P2p/4Pb2/2N4P/Pr3PPB/R5K1 w - - 5 29,h2f4 b6f2 g1h2 f2g2,1346
my7g1,,6k1/1pp2ppp/p1Pq4/7r/1PQ1p3/P3P2P/3N1P2/2R2R1K w - - 1 26,c4e4 h5h3 h1g1 d6h2,966
my7jc,,6rk/3p1P1b/2p1p3/p6Q/8/8/5PP1/6K1 b - - 0 31,g8f8 h5e5,1180
my7i2,,5rk1/p4pp1/1bp4p/6q1/2P1Q3/3B4/PP4PP/R6K b - - 1 25,c6c5 e4h7,853
my7Oq,,r3k2r/5ppp/p2Rp3/np2P1B1/2p1b3/2P5/P3B1PP/3R2K1 b kq - 1 21,h7h6 d6d8 a8d8 d1d8,888
my6no,,rnb1qrk1/pp2b2n/2p1p2p/3pPp1N/3P4/P1NB2Q1/1PP2PPP/R4RK1 b - - 1 14,g8h8 g3g7,907
my6mk,,r4rk1/1ppbqp1p/n2p2pQ/p2Pp1Nn/2P1P3/P1N4P/1P3PP1/R3KB1R b KQ - 2 13,e7f6 h6h7,675
my6pt,,3r2k1/pQb3Bp/6p1/1PP5/P4n2/7P/7P/7K w - - 1 35,b7c7 d8d1,914
my77y,,2r2rk1/pb3ppp/1p2p3/6q1/2PP1n2/P7/1B3PPP/1BRQ1RK1 w - - 0 18,g2g3 f4h3,969
my6wd,,7B/pQpk3p/5p2/8/1P2p3/3nP3/3P1PPP/RNqK2NR w - - 1 18,d1e2 c1e1,859
my82p,,r1b2r1k/pp3ppB/4p2p/q2RN1N1/8/2b5/PPP1Q1PP/1K5R b - - 0 18,e6d5 e5f7 f8f7 e2e8 f7f8 e8f8,1530
my8rb,,rnbqkbnr/3p1p1p/p3p1p1/1pp1N3/2B1P3/5Q2/PPPP1PPP/RNB1K2R b KQkq - 1 6,b5c4 f3f7,450
my8m4,,4Q3/6bk/3B4/p2bP3/8/7P/r7/6K1 w - - 4 44,e5e6 g7d4 g1f1 d5c4 f1e1 d4c3 e1d1 c4b3 d1c1 a2a1,2018
my8xP,,8/2R3p1/5k1p/8/2P3PK/2r5/8/8 w - - 5 54,c4c5 g7g5 h4h5 c3h3,1228
my98H,,r2k3r/b3n3/p2pBN2/1p3np1/8/P4K2/1PPB3P/4RR2 b - - 0 26,h8h2 d2a5 a7b6 a5b6,1570
my8zS,,6k1/7p/1R2P2P/4K3/3r2p1/1p6/b5P1/8 b - - 1 35,d4d2 b6b8 d2d8 b8d8,1592
my8kK,,4rk1r/p1p2pp1/1bQp4/4P3/6n1/5NBq/PP3P1P/RN2R1K1 w - - 1 20,e5d6 e8e1 f3e1 b6f2 g3f2 h3h2 g1f1 h2f2,2007
my8Lc,,6k1/5pp1/3q2P1/1P1b3Q/8/7P/7K/4R3 w - - 3 46,h2g1 d6g3 g1f1 g3g2,1688
my85Q,,2k2r1r/1p1b1R1p/p3p1p1/2N1P3/P1B4b/3P3P/1PP1n1PK/R1B5 w - - 3 20,f7d7 h4g3 h2h1 f8f1,1092
my8c4,,r1bq2nr/pppkbB2/2n1p3/3p2B1/3P2Q1/4P3/PPP2PPP/RN2K2R b KQ - 2 10,g8f6 g4e6,978
my8hZ,,6k1/4qpbp/3R2p1/p7/PpB5/1P4P1/5Q1P/6K1 b - - 0 39,e7d6 f2f7 g8h8 f7g8,1247
my8h5,,r1b3k1/pp4p1/4p2p/3p4/1qn5/2N3Q1/PPP3PP/2KR1R2 w - - 5 20,b2b3 b4a3 c1b1 a3b2,1257
my6hW,,b5k1/6pp/5p2/p2p1N2/8/4Q3/5KPP/3q4 b - - 3 40,d1a4 e3e6 g8h8 e6c8 a4e8 c8e8,1717
my3zH,,2r5/1N2p1kp/p4np1/1p6/2BR4/PP6/5PPP/6K1 w - - 0 27,c4e6 c8c1 d4d1 c1d1,561
my3yy,,4r1k1/ppp2ppp/2n4r/8/3P3q/1QP2B2/PP3PP1/R4RK1 w - - 3 18,g2g3 h4h2,1134
my428,,3r3k/7p/pp3rpP/5q2/7Q/1P3b2/P7/4RRK1 b - - 1 35,d8d2 h4f6 f5f6 e1e8 f6f8 e8f8,2020
my49Q,,3r3k/4n2p/p3B1p1/qp3P2/3R4/8/PP2QPPP/6K1 b - - 0 23,d8d4 e2e5,944
my430,,rnb1nk1r/pp3ppp/1Q6/1B6/8/2P2N2/PPP3PP/4RRK1 b - - 0 14,a7b6 e1e8,986
myFUe,,6k1/1p3pp1/p3r1np/2qp3R/8/3Q4/PP4PP/4R2K w - - 0 26,e1e6 c5c1 e6e1 c1e1 d3f1 e1f1,971
myFqi,,r5k1/2p3pp/pb1P3r/1p2pR2/1Pp1P3/P1N2bPq/B1P1N2P/R3Q2K w - - 1 24,f5f3 h3h2,999
myFxP,,r4rk1/1p3qpp/p3p1p1/3p3n/1b1P4/PP1BP2P/1B2KPP1/R2Q3R w - - 1 18,h1f1 f7f2 f1f2 h5g3,1899
myFjO,,8/5p1k/6p1/2P2q1p/3Q2b1/4K3/7P/3R4 w - - 4 41,d1d2 f5f3,610
myFVX,,r1bqk2r/3n1pb1/p4Np1/1pp1p1Bp/4P3/5P2/PPPQ2PP/2KR1BNR b kq - 0 13,d7f6 d2d8,623
myFWT,,5Qk1/pp3rp1/2p5/8/1P1Q4/2B3P1/5PK1/1q6 b - - 0 39,g8f8 d4d8,1014
my4PI,,3r4/5p1k/6p1/4P1q1/4b3/P3PQ1P/5R1P/7K w - - 0 38,f3e4 d8d1 f2f1 d1f1,840
my6It,,1r4rk/3b2p1/pp1q1pQp/2pPp3/2P1P3/1P5R/P1B3PP/5R1K b - - 5 30,d7e8 h3h6 g7h6 g6h6,985
my5y8,,8/2R3p1/1p2pk1p/4N3/5PK1/7P/1r1n2P1/8 b - - 14 47,d2e4 c7f7,936
my6L5,,r1b1k2r/ppqnbp2/2pp3p/8/2BNP1n1/P1NPB3/1PP3P1/R2Q1RK1 b kq - 1 13,g4e3 c4f7 e8f8 d4e6,2013
my6cg,,6k1/pppq3p/3p1rp1/3P4/2PQ4/8/PP5K/R1B2b2 w - - 0 25,d4f6 d7h3 h2g1 h3g2,837
my6Qa,,4rrk1/2pq2p1/p1p4p/2bpN3/6b1/1PP1P1P1/PB3n1P/R2QR1KB w - - 0 19,e5d7 f2h3 g1g2 f8f2,1839
my5qj,,8/pp1k1p2/2n4p/3N1bp1/8/BPK2N2/4r1PP/R7 w - - 3 33,a1d1 e2c2,1077
my4zD,,3rr1k1/pp1R2pp/3pRq2/1Np5/5pQ1/2N5/PPP2PPP/6K1 w - - 1 23,e6f6 e8e1,594
my4ev,,3r1rk1/ppp2Bpp/q7/3b4/1b2Q3/2Nn2P1/PP1BNP2/R4K1R b - - 0 20,d5f7 e4h7,608
my5Gn,,2kr3r/ppp2pp1/2nb1n1p/4q3/1P6/P3PB1P/2P2PP1/RNB1QRK1 w - - 1 13,c2c3 e5h2,667
my5NU,,3rk2r/p1Q2pp1/4Rb1p/8/8/3B4/PqP2PPP/R5K1 b k - 0 16,f7e6 d3g6 e8f8 c7f7,1568
my5N8,,5nk1/ppb3p1/4p1q1/3p3p/3B3Q/2P1R2P/PP3PP1/6K1 w - - 2 30,h4e7 g6b1 e3e1 b1e1,1127
myCzI,,r1b2k1r/ppq1b1p1/2n1p1Qp/3pPn1B/2pP1P2/2P5/PP1B2PP/RN3RK1 b - - 5 14,c6d8 g6e8,1238
myCrV,,r1b1k2r/ppppb1pp/2B3q1/6B1/3P4/5p2/PPP2PPP/R2Q1RK1 w kq - 0 11,g5e7 g6g2,1178
myDVW,,2r5/1p2R1pp/k1r5/8/8/4B3/5PKP/8 b - - 2 46,b7b5 e7a7,446
myDhE,,8/6rk/1q1BpQ2/p3Ppp1/8/1P6/P1r2PPP/3RR1K1 w - - 9 34,a2a3 b6f2 g1h1 f2g2,852
myDXK,,5r1k/pq3p1p/7Q/r2ppP2/N5P1/1P6/5P1P/4R1K1 b - - 1 30,f7f6 h6f8,802
myCXw,,8/4QBkp/3p2p1/4p1nq/4P3/2PP2P1/5P1K/5R2 w - - 1 43,h2g2 h5h3 g2g1 g5f3,1045
myBss,,r1bq1rk1/pp3p1p/4p1PQ/2p5/3p4/2BPP3/PP3PP1/R3K2R b KQ - 0 16,f7g6 h6h7,823
myBs0,,3rk1nr/ppp2ppp/2n5/4p3/1b2P3/1Pp3P1/PB2PP1P/R3KBNR w KQk - 0 10,b2c3 b4c3,854
myC2c,,5rk1/1R3n2/pN3p2/P3p1pp/1P2P2P/5PPK/2r5/3R4 w - - 0 37,h4g5 f7g5 h3h4 c2h2,1137
myCIl,,3R4/2P3pk/8/5p2/4p3/2P1P1P1/2QK1P2/r2B1q2 w - - 9 43,c7c8q f1f2 d1e2 f2e1,1291
myC8a,,2rR2k1/4n1pp/p3P2r/1p3p2/1P6/PB3b2/5PPP/3R2K1 b - - 1 25,c8d8 d1d8,494
myDpw,,3r1b1r/1Qpk4/2p2pR1/4p3/4P3/1P6/PBPP1P1R/2K4q w - - 1 24,h2h1 h8h1 g6g1 h1g1,400
myExj,,1r1q3r/p1p1k1bp/2Q2Bp1/1B2Pb2/3P4/1P3N2/P1n3PP/3K3R b - - 0 17,g7f6 c6f6,1328
myEvf,,br3rk1/7p/pp1Np1p1/5pq1/P2Q4/1P1P4/5PPP/1R3RK1 w - - 1 25,d4e5 g5g2,655
myF0Z,,4R3/pp2N1pk/3p2rp/2p3qb/2P5/5r2/PPQ3PP/5R1K w - - 0 22,g2f3 h5f3 f1f3 g5g1,1356
myFQu,,1r4k1/2Q2pbp/P5p1/4p3/4q3/2P2N2/5PPP/r4RK1 w - - 0 22,f1a1 b8b1 a1b1 e4b1 f3e1 b1e1,990
myFPY,,5r2/6k1/p4p2/1p4pp/1P1pP3/P4KP1/1Pr3BP/1R1R4 w - - 0 30,g2f1 g5g4 f3f4 c2f2,1141
myEsB,,6k1/pb5p/1p2p3/2p1qp2/2B2R2/4P2P/PP6/5RK1 w - - 0 28,f4f5 e5g3,1496
myE7c,,4r1k1/pp3p1p/1q3bp1/8/2Q2PP1/2N4P/PP6/1K1R4 w - - 2 27,c3d5 b6b2,665
myE2h,,2Qb2k1/p4pp1/7p/8/4PPP1/1P4r1/PB6/R2r1bK1 w - - 0 26,g1f2 g3g2 f2f3 d1d3,1211
myEFQ,,1r1Q2k1/p4ppp/1pb5/8/2q2P2/1N6/PPP3PP/3R2K1 b - - 1 22,b8d8 d1d8 c6e8 d8e8,511
myENQ,,r2b1r1k/ppq4n/2p2p2/8/2B3Q1/6R1/PPP2PPP/6K1 b - - 13 31,b7b5 g4g8 f8g8 g3g8,1282
myELW,,2r3k1/p4ppp/3Q4/8/8/6P1/PP3q1P/2KR4 w - - 1 26,c1b1 f2c2 b1a1 c2c1 d1c1 c8c1,1076
myBmU,,2r5/R7/2r1kbp1/7p/1B3P2/3Pp1P1/PP1R3P/3K4 w - - 0 31,d2e2 c6c1,447
my9dF,,8/5p2/6pk/7p/3Q1P2/5PKP/8/5q2 w - - 5 42,d4f6 f1g1 g3h4 g1f2,1221
my9dB,,1r3bk1/5p1p/2R5/3P4/4p3/1r2P1P1/K2RN2P/8 w - - 4 30,e2d4 b3a3,1169
my9nC,,r4r1k/pp3p2/2p5/6p1/1P1q2Pn/P5KP/3N1P2/R2Q1R2 w - - 0 23,d2f3 d4f4,1269
myAAl,,r1bq4/2pp1NQ1/p7/2kPp3/1bPn3r/3P4/1P3PP1/R4RK1 w - - 2 23,f7d8 d4e2,818
myA6i,,rk6/pp2Pp2/8/8/1P2r2p/P7/6PP/2RR2K1 b - - 0 26,e4e7 d1d8,421
my9d5,,r5k1/pp4pp/1qpN4/4nr2/8/4n3/PPP3PP/R1BQ2KR w - - 0 17,c1e3 b6e3,659
my9KJ,,2r2r2/p7/3b1p1k/2p1pQ1P/4P1P1/1P2P3/P6q/5K2 b - - 0 31,h2h4 f5g6,1024
my9Hw,,3qR1k1/5ppp/1r6/b7/Q7/2PP1nPP/5PK1/8 b - - 1 32,d8e8 a4e8,610
my9PL,,1r4r1/5p1k/p2p1p2/1pp2q1p/4BP1Q/1P5R/P5PP/2n4K b - - 1 28,f5e4 h4h5 h7g7 h5h6,1515
my9Xk,,r1b2rBk/ppp2pp1/2n5/6q1/1P4P1/P3P3/1BQPP3/R3K2R b KQ - 4 21,h8g8 c2h7,644
my9UV,,3r2k1/7p/p4p2/1b6/8/2N5/PPP1RPPP/6K1 w - - 2 23,c3b5 d8d1 e2e1 d1e1,591
myABw,,r1b1k2r/pp3ppp/2nBpq2/2P5/4n3/P1P5/4NPPP/R2QKB1R w KQkq - 1 12,e2d4 f6f2,1227
myB7q,,5rk1/pp5p/2p3p1/8/2PR1n2/P1N1r2b/1PB2P1P/6K1 w - - 0 22,f2e3 f4e2 c3e2 f8f1,480
myAzL,,4r1k1/p5p1/7p/1P1P4/1b1P1B2/3B1P1n/PQ4P1/R3qK2 w - - 1 33,a1e1 e8e1,709
myB9i,,2R1Q3/5ppk/1rNK3p/2p1p3/4P2P/P2q1P2/8/8 w - - 2 42,d6c5 b6b5,1982
myBjW,,1k3r2/p1p5/Pp6/3r4/7p/4RRb1/8/1B5K b - - 0 43,f8f3 e3e8 d5d8 e8d8,986
myBho,,6r1/5p1k/p2p1b1p/1p1P1P1Q/4qP2/P1P5/1P6/K6R b - - 1 33,g8g7 h5h6 h7g8 h6h8,1166
myAxy,,rnb3k1/pp1p2p1/2nQ3p/6N1/2B1r2q/B1P5/P4PPP/R4K1R b - - 3 16,e4c4 d6f8,1184
myAPx,,r4qrk/1p3p1p/p2p1Pp1/2p1n3/5R2/2NP3Q/PPP3PP/R6K b - - 6 22,f8c8 h3h7 h8h7 f4h4,1387
myACK,,7k/pr2q1Bp/6p1/2b5/2B5/7P/PQ4P1/3R3K b - - 0 32,e7g7 d1d8 c5f8 d8f8,1258
myAUV,,rn2kb1r/ppp2ppp/4p3/3p4/4nP1q/1P1PPB2/PBP3PP/RN1QK2R w KQkq - 1 9,e1e2 h4f2,884
myAa6,,8/6Q1/4p3/5pk1/4q3/8/5K2/8 b - - 10 69,g5f4 g7g3,857
myAX0,,6k1/6pp/8/8/P2Pp3/2N3nP/1r3r2/R3R1K1 w - - 2 31,c3e4 f2g2,1129
mxxew,,2kr2nr/ppp3pp/5p2/4p3/3qP3/1P1P4/P2NKPPP/R2Q3R w - - 1 13,h1e1 d4d3,988
mxxdl,,8/1kp2R2/1p3P2/pP2Q3/P1p4P/2P1Kq2/5P2/7b w - - 1 45,e3d4 f3d3,1148
mxxkd,,6k1/B4pb1/4r1p1/q7/4p3/1Q4Pp/1P3P1P/4R1K1 w - - 0 31,a7e3 a5e1,552
mxxzH,,r5r1/2R2N1k/1q2p1pQ/5n1p/5P2/7P/P4RP1/6K1 b - - 3 35,f5h6 f7g5 h7h8 c7h7,955
mxxpe,,r2b1rk1/pp3pp1/2p3qp/4P3/2N2Q2/1PP2N1b/1P3PP1/R4RK1 w - - 0 20,g1h2 g6g2,793
mxxRt,,6r1/pp3ppk/2b4p/2Pp1QP1/3Br2P/2P5/4qP2/5RK1 b - - 2 31,g7g6 f5f7 g8g7 f7g7,949
mxwz4,,r3kb1r/4pppp/p1b3q1/1pN1Q3/8/P2Pn3/BPP2PPP/R1B2RK1 w kq - 1 15,c5e4 g6g2,873
mxwun,,r5k1/5pp1/2P4p/1R6/5b2/7P/2R3P1/7K w - - 1 40,c6c7 a8a1 b5b1 a1b1 c2c1 b1c1,659
mxwzW,,2k1r2r/p2b4/q2pp1p1/R1pP1p1p/2P1nP2/2P1P2P/1R2B1P1/1Q4K1 b - - 0 25,a6a5 b2b8 c8c7 b1b7,984
mxxAU,,2q1k2r/p4ppp/1p2p3/bQ2N3/3P4/B1n1P3/5PPP/R1R3K1 b k - 0 20,c3b5 c1c8,619
mxx3H,,8/5kpp/1p2p3/2p2pPQ/4b2P/6B1/1qP3PK/8 b - - 1 33,f7f8 g3d6 f8g8 h5e8,977
mxy6B,,6k1/pb3rp1/4Q2p/8/5q2/2P2N1P/PP3PP1/R5K1 w - - 0 26,f3e5 f4f2 g1h2 f2g2,1369
mxylU,,r2qkb1r/1bp2ppp/p1n5/1p1BP3/8/1QP5/P4PPP/R1B1K1NR b KQkq - 0 12,c6a5 d5f7 e8d7 b3e6,1079
mxybH,,k7/1p5r/4q3/p4p2/P6P/1R3Q2/KPP5/8 b - - 0 47,h7h4 f3b7,434
mxylV,,2r2rk1/1bqp1ppp/p1n1P3/1p1p4/5P2/PP4Q1/1BP3PP/2KR2NR b - - 0 17,c6d8 g3g7,443
mxz0H,,r5k1/ppp2p1p/n3r3/6pn/3bPB2/2NN1P2/PPP3PP/3R1R1K w - - 0 16,f4d2 h5g3 h2g3 e6h6,1087
mxywi,,Q5k1/p1q1rp1p/6pB/2p5/N1Bb2P1/P6P/8/5K2 b - - 3 28,e7e8 a8e8,744
mxyb0,,8/8/8/6pp/8/4q1PK/1Q2k3/8 b - - 1 60,e2f3 b2g2,1529
mxyIi,,6k1/3q1pp1/3b3p/2pP1N2/6Q1/6P1/5PKP/r7 b - - 2 33,a1a7 g4g7,795
mxyBx,,2r3k1/1p3ppp/3npb2/1b6/1P6/P3P3/Q4PPP/3R2K1 w - - 0 29,d1d6 c8c1 d6d1 c1d1,503
mxyO5,,rnb3k1/ppp3p1/3p4/3Pp3/4P2q/2N3p1/PPP1BQP1/R1B3K1 w - - 0 16,f2f3 h4h2 g1f1 h2h1,1029
mxyXK,,6R1/8/8/7P/5k2/6p1/r5P1/6K1 w - - 5 54,g8e8 a2a1 e8e1 a1e1,624
mxyOw,,8/5pk1/8/4PQ1K/6P1/8/8/7q w - - 11 57,h5g5 h1h6,952
mxwq1,,4r1k1/ppp2p2/3p1Q1P/8/6P1/2P1P3/P5K1/4r3 b - - 0 39,e1e3 f6g7,854
mxvjh,,2r5/p5rk/P3R1p1/1P6/4Q1Pp/3BPp1P/5P2/2q3K1 w - - 5 48,d3f1 c1f1 g1f1 c8c1,1069
mxvf0,,r3kb1r/ppq2ppp/4b3/3p4/2p2Nn1/2N5/PPPPQPPP/R1B2RK1 w kq - 6 13,f4e6 c7h2,484
mxvou,,2Q4k/4b1pp/bq1p4/3B2P1/p2pPR1P/3P4/PP6/2K2R2 b - - 0 33,a6c8 f4f8 e7f8 f1f8,1184
mxvwi,,8/p7/2R2p2/3p2rp/k4p2/r7/7K/1R6 b - - 1 54,g5g6 c6a6,1144
mxvrD,,4r2k/p5pp/8/4r3/3Q2n1/8/PPPPqPPP/RNB2RK1 w - - 3 21,b1c3 e2f1 g1f1 e5e1,1652
mxvbX,,3k4/ppp5/8/5Q2/5n2/PPP2P2/3Pq1PP/5RK1 w - - 1 29,f1f2 e2e1 f2f1 f4e2 g1h1 e1f1,1323
mxv3n,,5rk1/p7/7Q/5p2/4qPp1/2P1b1P1/PP2RRKP/8 w - - 4 32,g2f1 e4h1,1318
mxv2J,,bR3bk1/5ppp/p2p1n2/3q4/2rB4/4Q3/5PpP/1R4K1 b - - 3 32,c4d4 b8f8 g8f8 b1b8 f6e8 e3e8,1467
mxv6c,,2r1r1k1/1b1N1p1p/p5p1/1p4B1/3bq3/2p4Q/P4PPP/2RR2K1 w - - 0 27,d1d4 e4e1 c1e1 e8e1,954
mxvR2,,2r2r2/R4kp1/2N2p2/1p1p3p/4nPbP/3KP3/1BP5/6R1 b - - 1 26,f7e8 a7e7,902
mxv8s,,r1b2k1r/ppp5/2p5/2b1q3/4B1p1/2NP4/PPP1QPP1/R1B2RK1 w - - 2 18,g2g3 e5g3 e4g2 g3h2,1737
mxvwq,,7Q/3b1qB1/p2P3p/5ppk/8/r2BPP2/8/6K1 b - - 1 41,a3d3 h8h6,623
mxwc4,,2r2rk1/pp1q1ppp/3b1n1B/n7/4NP2/7P/PPQ1B2K/R5R1 b - - 0 20,c8c2 e4f6 g8h8 h6g7,1933
mxwUv,,2kr3r/p1pq1p1p/1p1b2n1/8/8/2P2Q2/PP3PPP/RN2R1K1 b - - 2 17,h8g8 f3a8,877
mxwcr,,4r2k/p4Qpp/5n1q/2P5/3Pp3/4PpKP/P4P2/R4R2 w - - 2 30,a1b1 h6g5 g3h2 g5g2,1401
mxwnX,,rnb1k2r/5ppp/4p3/3pPn2/P4P2/1Nq5/6PP/R2QKBNR w KQkq - 3 15,e1f2 c3e3,926
mxwfS,,r4b1N/pppbk1p1/5qBp/3pp2Q/4P3/5P2/PPn3PP/RNB3KR w - - 0 16,b1d2 f6b6 g1f1 d7b5 d2c4 b5c4,1970
mxwEa,,r1b2rk1/3p2bp/p1p1pqnB/8/2B1p3/2N5/PPPQ1PP1/2KR3R w - - 0 15,c3e4 f6b2,799
mxw1P,,r7/pp1n1pk1/2p1q3/3p3Q/4r3/4B2P/PPP2PK1/R5R1 b - - 1 21,g7f6 h5g5,1357
mxvye,,6Q1/8/8/1p5P/8/p1n2P2/2r5/K2k4 w - - 0 45,h5h6 c2c1,1935
mxw38,,4r1k1/p1p2ppp/1qp2n2/8/2P2QN1/1P2r3/P5PP/3R1R1K b - - 12 22,f6g4 f4f7 g8h8 f7f8 e8f8 f1f8,1209
mxwA6,,r3k2r/p1p2ppp/2p1p3/2b2n2/4PP1q/8/PPP3PP/RNBQ1RK1 w kq - 1 12,g1h1 f5g3,907
mxw8H,,rn1qkbnr/3bpppp/p7/8/2BPP3/1Q6/5PPP/RNB1K1NR b KQkq - 1 9,b8c6 c4f7,713
myHnZ,,r1bq1r1k/ppp1b3/2n3Q1/5p1N/8/2Np4/PP3PPP/R3K2R b KQ - 3 18,f8g8 g6h6,1091
myHv5,,2krr3/1P3p1p/p7/3Pn3/P5P1/2Q1BB1P/5KP1/1q6 b - - 0 28,c8b7 d5d6 e5f3 c3c7 b7a8 c7a7,1339
myHfy,,4q1k1/1b2r3/pQ4pp/5p2/2P5/PP3B2/3n1PPP/R3R1K1 w - - 1 35,f3b7 e7e1 a1e1 e8e1,649
myHMM,,6k1/1p3pb1/p3p3/6Q1/6N1/2P2qP1/Pr3P1P/4R1K1 w - - 0 32,e1e3 b2b1 e3e1 b1e1,1380
