PuzzleId,GameId,FEN,Moves,Rating
AYUkF,,5B2/1pQ3pk/2b2p2/5q1p/2pP3P/5P2/1P4PK/8 b - - 33 50,c4c3 c7g7,805
AYUnW,,2r2rk1/5pq1/b5p1/p3n2N/Pp2N2Q/2p1R3/5PPP/2R3K1 b - - 0 29,g7h6 h5f6 g8g7 h4h6 g7h6 e3h3 h6g7 h3h7,1312
AYVu4,,2kr1b1r/pp2ppp1/2p3p1/2n3P1/3q4/1Q3B1P/PP2PP2/R1B1K2R w KQ - 0 16,b3f7 d4d1,859
AYVvm,,rn2k2r/pq3pp1/1p1Bp2p/2p1P1n1/P2P1N2/2P3P1/2P4P/1R1Q1RK1 w kq - 0 18,f4h5 g5h3,1060
AYW2m,,2k3rr/pbpp2q1/1Pn2p1p/8/8/2PBPN2/P4PPP/RN1Q1RK1 w - - 1 14,b6a7 g7g2,632
AYVAM,,r5k1/pp4b1/3pP1Bp/2p1p3/2P4r/5qP1/PPQ2n1K/R4R2 w - - 0 28,g3h4 f3h3 h2g1 h3g3,2179
AYVO4,,rn2k3/ppp5/3p1pN1/8/2B1P1b1/2PP4/P1PQ1Ppq/R3K1R1 w Qq - 0 15,g1g2 h2h1 g2g1 h1g1,1063
AYVrB,,2kr1bnr/pp3ppp/3q4/2p5/4P3/NnQ1B3/PPP2PPP/2KR1B1R w - - 4 11,a2b3 d6d1,411
AYS20,,2rR3k/6pp/p7/1p2B3/7P/Pn6/1PP2r2/1K1R4 b - - 1 29,c8d8 d1d8 f2f8 d8f8,481
AYOXz,,r4Qkr/5ppp/5nN1/qpn3B1/5P2/8/PPP3PP/2KR4 b - - 6 23,a8f8 g6e7,920
AYOnG,,5k2/3r1ppp/8/4Q1P1/7P/2r5/PPq5/K6R w - - 2 27,e5c3 d7d1 h1d1 c2d1 c3c1 d1c1,1110
AYOuN,,1k1rn2r/ppp2pp1/3p4/1qB3Pp/4P3/P4P2/1P4BP/2RQ1RK1 b - - 0 19,d6c5 d1d8,455
